seed,trial,difficulty,clues,empty_cells,algorithm,solved,time_repeats,time_ms,time_s,nodes,assignments,backtracks
440,6,Hard,26,55,CSP + MRV (Project),yes,21,1.260375,0.001260375,56,55,0
440,6,Hard,26,55,CSP + MRV + LCV,yes,21,1.693042,0.001693042,66,65,10
440,7,Hard,26,55,Naive Backtracking,yes,21,30.79075,0.03079075,17204,17203,17148
440,7,Hard,26,55,BT + Forward Checking,yes,21,124.160042,0.124160042,6279,9187,9132
440,7,Hard,26,55,CSP + MRV (Project),yes,21,7.310208,0.007310208,297,296,241
440,7,Hard,26,55,CSP + MRV + LCV,yes,21,6.28225,0.00628225,203,202,147
440,8,Hard,26,55,Naive Backtracking,yes,21,38.323083,0.038323083,23292,23291,23236
440,8,Hard,26,55,BT + Forward Checking,yes,21,104.446167,0.104446167,4798,7248,7193
440,8,Hard,26,55,CSP + MRV (Project),yes,21,2.094208,0.002094208,70,69,14
440,8,Hard,26,55,CSP + MRV + LCV,yes,21,2.884833,0.002884833,83,82,27
440,9,Hard,26,55,Naive Backtracking,yes,21,8.845292,0.008845292,4638,4637,4582
440,9,Hard,26,55,BT + Forward Checking,yes,21,22.21525,0.02221525,1256,1711,1656
440,9,Hard,26,55,CSP + MRV (Project),yes,21,1.920167,0.001920167,92,91,36
440,9,Hard,26,55,CSP + MRV + LCV,yes,21,2.265584,0.002265584,92,91,36
440,10,Hard,26,55,Naive Backtracking,yes,21,0.569125,0.000569125,316,315,260
440,10,Hard,26,55,BT + Forward Checking,yes,21,2.270333,0.002270333,137,176,121
440,10,Hard,26,55,CSP + MRV (Project),yes,21,0.909708,0.000909708,65,64,9
440,10,Hard,26,55,CSP + MRV + LCV,yes,21,1.140708,0.001140708,65,64,9
